Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
Thai Smile Airways Company Limited,,Founded in May 2011. Commenced operations 07 July 2012.,THD,Thai Smile,Thailand,WE,909
Wideroe's Flyveselskap A/S,701,,WIF,Wideroe,Norway,WF,701
Sunwing Airlines Inc,292,IATA designator changed from K0 on 15 Aug 2006Founded in 2005,SWG,,Canada,WG,
WDL Aviation GmbH  Co. KG,,Designator WD recalled by IATA.,WDL,WDL,Germany,WH,
White Airways S.A.,,"Accounting Code reinstated by IATAName change from YES - Linhas Aereas Charter, S.A. - Yestours. ICAO designator changed from YSS",WHT,Whitejet,Portugal,WI,097
JetSmart Airlines S.A.,,,,,Argentina,WJ,
Air Labrador Limited,927,Name changed from Labrador Airways Limited. ICAO callsign changed from Lab Air.Designator WJ reinstated by IATA,LAL,Air Labrador,Canada,WJ,927
Edelweiss Air AG,945,"IATA Designator changed from 8R*IATA desigantor changed 1I, then from 5H*",EDW,Edelweiss,Switzerland,WK,
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",,"Designator K8* recalled by IATAName changed from Caribbean Sun Airlines, Inc",WAL,World Atlantic,United States of America,WL,
Windward Islands Airways International N.V.,295,,WIA,Windward,Netherlands Antilles,WM,295
Southwest Airlines Co.,526,,SWA,Southwest,United States of America,WN,526
"Swoop, Inc",995,Ulta LCC subsidary of WestJet. Planned startup 20 June 2018 with Y189 B737-800.,WSW,Swoop,Canada,WO,995
"Interstate Equipment Leasing, Inc. d/b/a Swift Air",,IATA designator changed from Q7.,SWQ,Swiftflight,United States of America,WQ,
Westjet Encore Ltd.,,Commenced operations 24/06/2013,WEN,Encore,Canada,WR,
Westjet,838,Name changed from Westjet Airlines Ltd.,WJA,Westjet,Canada,WS,838
"Swiftair, S.A.",227,,SWT,Swift,Spain,WT,
Jetways Airlines Limited,,,JWX,Jetways,Kenya,WU,
Westair Aviation (Pty) Ltd.,,,WAA,Westair Wings,Namibia,WV,614
Wow Air ehf,377,,WOW,Wowair,Iceland,WW,377
Cityjet,689,,BCY,City-Ireland,Ireland,WX,689
Oman Air,910,ICAO callsign changed from Khanjar,OMA,Oman Air,Oman,WY,910
CJSC Airline 400,,IATA Accounting and Prefix codes recalled. ICAO designator changed from VAZFounded in 1999.,RWZ,Remont Air,Russian Federation,WZ,
Hahn Air Technologies GmbH,,Computer Reservations Systems (CRS),,,Germany,X1,
TUIfly GmbH,617,"Name changed from Hapag Lloyd Fluggessellschaft mbH, ICAO callsign changed from Hapag Lloyd.IATA designator changed from HF w.e.f. 01/10/2010. ICAO designator changed from HLF w.e.f. 01/10/2010.",TUI,Tuifly,Germany,X3,617
"Air Excursions, LLC d/b/a Alaska Seaplanes",,Acquired by Alaska Seaplanes and merged in spring 2013.,,,United States of America,X4,
aeronova S.L.U. d/b/a Air Europa Express,,,OVA,Aeronova,Spain,X5,
S.C. Ten Airways S.R.L.,,,OTJ,Tender Air,Romania,X5,
Air Service,,Designator X7 reinstated by IATA,,,Gabon,X7,594
Joint Stock Company Avion Express,,,NVD,Nordvind,Lithuania,X9,
"ARINC (Aeronautical Radio, Inc.)",,Comms org for airline industry,XAA,Rockfish,United States of America,XA,
International Air Transport Association,,Billing and Settlement PlanNon-airline org. relating to the airline industry,IAT,,Canada,XB,953
International Air Transport Association,,Non-airline org. relating to the airline industry,IAT,,Canada,XB,
International Air Transport Association,,Billing and Settlement PlanNon-airline org. relating to the airline industry,IAT,,Canada,XB,954
Turistik Hava Tasimacilik A.S. - Corendon Airlines,395,,CAI,Corendon,Turkey,XC,
OAG Worldwide.,,Name changed from Offical Airline Guides (OAG)Non-airline org. relating to the airline industry,XXD,,United States of America,XD,
"Scheduled Airlines Traffic Offices, Inc.",,Non-airline org. relating to the airline industry,,,United States of America,XD,888
Air Transport Association of America (ATA),,Non-airline org. relating to the airline industry,ATA,,United States of America,XD,
"Delux Public Charter, LLC d/b/a JetSuiteX",,,JSX,Bigstripe,United States of America,XE,
Mongolian Airways Cargo,848,,MGW,Great Mongolian,Mongolia,XF,
SunExpress Deutschland GmbH,,,SXD,Sunrise,Germany,XG,
Special Ground Handling Service - XH,,Non-airline org. relating to the airline industry,XXH,,United States of America,XH,
Thai Airasia X Company Limited,940,,TAX,Express Wing,Thailand,XJ,940
Air Corsica,146,Name changed from Compagnie Aerienne Corse Mediterranee w.e.f. October 2010.Name changed from Compagnie Aerienne Corse Mediterranee. IATA designator changed from ZN,CCM,Corsica,France,XK,146
Aerolane - Lineas Aereas Nacionales del Ecuador S.A. d/b/a LATAM Airlines Ecuador,,Name changed from Lan Ecuador -  Aerolane - Lineas Aereas Nacionales del Ecuador S.A.,LNE,LAN Ecuador,Ecuador,XL,
Zimex Aviation Limited,,IATA designator changed from C4,IMX,Zimex,Switzerland,XM,
PT. Travel Express Aviation Services d/b/a Xpress Air,,Name change from PT. Travel Express Aviation Services d/b/a Express Air in 212.,XAR,Travel Express,Indonesia,XN,
"South East Asian Airlines (Seair) International, Inc.",,,SGD,Air Blue,Philippines,XO,
T.E.M. Enterprises Inc. d/b/a  Xtra Airways,,Accounting code 615 recalled by IATAFounded in 1987. Name changed from T.E.M. Enterprises Inc. d/b/a Casino Express,CXP,Ruby Mountain,United States of America,XP,
SunExpress - Gunes Ekspres Havacilik A.S.,564,,SXS,Sunexpress,Turkey,XQ,
Touristic Aviation Services Ltd. t/a Corendon Airlines Europe,,,CXI,Touristic,Malta,XR,
SITA - Airlines Worldwide Telecommunications and Information Services,950,Telecommonunications and InformationComms org for airline industry,SIT,,Belgium,XS,950
PT. Indonesia AirAsia Extra,,Subsidary of AirAsia X Berhad.,IDX,Red Phoenix,Indonesia,XT,
African Express Airways (K) Limited,,ICAO designator changed from AEK,AXK,Express Jet,Kenya,XU,
NokScoot Airlines Company Limited,,NokScoot is a planned Thai based low-cost medium to long-haul airline. It plans to operate international services out of Bangkok's Don Mueang International Airport.NokScoot is a joint venture of Thailand's Nok Air and Singapore based Scoot. The new airline will start commercial flights out of Don Mueang International Airport in the first quarter of 2015.,NCT,Big Bird,Thailand,XW,478
National Air Services d/b/a flynas,593,Name changed from National Air Services d/b/a nasairIATA designator changed from 2N,KNE,Nas Express,Saudi Arabia,XY,593
South African Express Airways (Pty) Ltd.,029,Suspended operation on 25 May 2018 due AOC revoked by SACAA. Operations re-started on 23 August 2018. Designator YB recalled by IATA.Designator YB reinstated by IATA,EXY,Expressways,South Africa,XZ,
Travel Technologyu Interactive SA,,Computer Reservations Systems (CRS),,,France,Y1,392
"Air Century, S.A.",,,CEY,Centuryflight,Dominican Republic,Y2,
Sky KG Airlines,,,KGK,Kyrgyz Sky,Kyrgyzstan,Y3,
"Concesionaria Vuela Compania De, SA de CV (Volaris)",036,ICAO callsign changed from Vuela Aviacion,VOI,Volaris,Mexico,Y4,036
"Golden Myanmar Airlines Public Co., Ltd",509,,GMR,Golden Myanmar,Myanmar,Y5,509
AB Aviation,,,,,Comoros,Y6,
Joint-stock company NordStar Airlines d/b/a NordStar,476,Name changed from Open Joint Stock Company Airline Taimyr d/b/a NordStar.,TYA,Taimyr,Russian Federation,Y7,476
"Suparna Airlines Co., Ltd.",,"Name changed from Yangtze River Airlines Co., Ltd. w.e.f. 07 July 2017.Name previously changed from Yangtze River Express Airlines Co., Ltd. w.e.f. 28 November 2015.",YZR,Yangtze River,China,Y8,871
Kish Air,780,ICAO Designator changed from IRK.,KIS,Kishair,Iran,Y9,780
Yamal Airlines,664,Designator YL recalled by IATADesignator YL reinstated by IATA,LLM,Yamal,Russian Federation,YC,664
Caverton Helicopters Ltd.,,,,,Nigeria,YC,
Synergy Aviation Ltd.,259,,SYG,Synergy,United Kingdom,YD,
Yan Air Ltd.,,,ANR,Yanair,Ukraine,YE,206
Department of National Defence,,,,,,YF,
"YTO Cargo Airlines Co., Ltd.",860,,HYT,Quick Air,China,YG,
"Sunsplash Aviation, LLC.",361,,,,United States of America,YH,
Yangon Airways Limited,,IATA designator changed from HK* w.e.f. 15 June 2009.,AYG,Air Yangon,Myanmar,YH,
"Air Sunshine, Inc.",,Accounting Code 806 recalled by IATA,RSI,Air Sunshine,United States of America,YI,
Asian Wings Airways Ltd,,Commenced operations on 27 January 2011.,AWM,Asian Star,Myanmar,YJ,
Avia Traffic Company LLC,,IATA designator changed from Z7,AVJ,Atomic,Kyrgyzstan,YK,
Libyan Wings,,,LWA,Libyan Wings,Libyan Arab Jamahiriya,YL,
Montenegro Airlines,409,IATA designator changed from 1I,MGX,Montair,Montenegro,YM,409
"Air Creebec (1994), Inc.",219,,CRQ,Cree,Canada,YN,219
Heli Air Monaco,747,,MCM,Heli Air,Monaco,YO,747
"Link Conexion Aerea, S.A. de C.V. d/b/a TAR Aerolineas",,Commenced operations on 15 January 2014.,LCT,,Mexico,YQ,
"Grand Canyon Airlines, Inc d/b/a Scenic Airlines",398,"Name changed from Eagle Canyon Airlines, Inc.Name changed from Eagle Jet Charter, Inc. d/b/a Scenic Airlines",EGJ,Eagle Jet,United States of America,YR,398
Regional Compagnie Aerienne Europeenne t/a HOP!-Régional,977,"Name chnaged from Régional Compagnie Aérienne Européenne.Designator YS reinstated by IATA. ICAO designator changed from PRS. Formed 04/2001 by merger of Flandre Air, Protues Air and Regional Airlines",RAE,Regional Europe,France,YS,977
Yeti Airlines Domestic Pvt. Ltd.,,IATA designator changed from 0Y,NYT,Yeti Airlines,Nepal,YT,
"EuroAtlantic Airways Transportes Aereos, S.A.",551,"IATA designator changed from MM*. Name changed from EuroAtlantic Airways, S.A.Formerly Air Zarco d/b/a Air Maderia",MMZ,Euroatlantic,Portugal,YU,551
"Mesa Airlines, Inc.",533,Designator YV reintated by IATA,ASH,Air Shuttle,United States of America,YV,533
"Air Nostrum Lineas Aereas del Mediterraneo, S.A.",,ICAO designator changed from ANS,ANE,Nostru Air,Spain,YW,694
Yourways Luftverkehrsgesellschaft mbH,,Name changed from Privateways Luftfahrtgesellschaft mbH.,PWY,Yourways,Germany,YZ,
Philippines AirAsia Inc. t/a AirAsia Philippines,457,"Name changed from Zest Airways Inc. t/a AirAsia Zest. Merged with AirAsia, Inc. PhilippinesName changed from Zest Airways Inc. Name changed from Asian Spirit",APG,Cool Red,Philippines,Z2,457
Bidzy Ta Hot Aana Native Corporation t/a Tanana Air Service,,IATA Designator changed from 4E*.,TNR,Tan Air,United States of America,Z3,
"Promech, Inc.",,Designator Z3* reinstated by IATA,,,United States of America,Z3,
Zagrosjet Airlines,541,Name changed to Zagros Air in Augsut 2013.Affiliate of Atlasjet Turkey,GZQ,,Iraq,Z4,541
Global Africa Cargo,204,,GAA,Global Africa,Zimbabwe,Z5,
Amaszonas Uruguay,,,AUZ,Uruguayo,Uruguay,Z7,455
Línea Aérea Amaszonas S.A.,,Designator Z8* reinstated by IATA,AZN,Amazonas,Bolivia,Z8,464
"JSC ""Bek Air""",,Name changed from Berkut AirCommenced operations on 01 September 2011 .,BEK,Berkut,Kazakhstan,Z9,183
Sky Angkor Airlines,969,Name changed from Skywings Asia Airlines w.e.f. 01 December 2014.,SWM,Sky Angkor,Cambodia,ZA,
NU-Aero (Pvt) Ltd t/a Fly Africa Zimbabwe,,Operations commenced on 01 August 2014.,FZW,,Zimbabwe,ZC,
EWA Air,732,Commenced operations in 2013.,EWR,Mayotte Air,Mayotte,ZD,732
Eastar Jet Co. Ltd.,,,ESR,Eastarjet,"Korea, Republic of",ZE,
AZUR air Limited Liability Company,,Founded in May 1995 as Katekavia.Name changed from Katekavia-limited company,KTK,Azur Air,Russian Federation,ZF,
Safari Express Cargo Limited,925,,SXY,Safari Express,Kenya,ZF,
Shenzhen Airlines,479,IATA designator to changed from 4G w.e.f. 04/03/2002Designator 4G reinstated by IATA,CSZ,Shenzhen Air,China,ZH,479
Aigle Azur,,IATA designator ZI reinstated by IATAIATA designator ZI recalled by IATA,AAF,Aigle Azur,France,ZI,439
Air Routing International L.P.,,Name changed from Air Routing International Corp.,ARC,,United States of America,ZJ,
Great Lakes Aviation Ltd.,846,,GLA,Lakes Air,United States of America,ZK,846
"Zetavia Limited, Aircompany",686,,ZAV,Zetavia,Ukraine,ZK,
Regional Express Pty Limited,899,,REX,,Australia,ZL,899
Air Manas d/b/a Air Manas Ltd. Air Company,,Founded in 2006IATA designator changed to M2,MBB,Air Manas,Kyrgyzstan,ZM,
"NAYSA Aerotaxis - Navegacion y Servicios Aéreos Canarios, S.A.",595,,NAY,Naysa,Spain,ZN,595
"Colorful Yunnan General Aviation Co., Ltd. t/a Colorful Yunnan Airlines",,,,,China,ZO,
Compañía de Aviación Paraguaya S.A. d/b/a Paranair,445,Name changed from Amaszonas del Paraguay SA Lineas Aereas w.e.f. from 15 October 2018.,AZP,Guarani,Paraguay,ZP,445
Silk Way Airlines,463,,AZQ,Silk Line,Azerbaijan,ZP,
Aviacon Zitotrans Air Company JSC,,,AZS,Zitotrans,Russian Federation,ZR,410
Titan Airways Ltd.,858,ICAO designator changed from TOT,AWC,Zap,United Kingdom,ZT,
Sunair Aviation Ltd.,,,SAV,Sunair,New Zealand,ZU,
"Ethiopian Mozambique Airlines, Ltd",971,,,,Mozambique,ZU,971
Air Wisconsin Airlines Corporation (AWAC),303,ICAO designator changed from WSN. ICAO Callsign changed to Wisconsin,AWI,Wisconsin,United States of America,ZW,303
Air Georgian Ltd. d/b/a Air Alliance,,,GGN,Georgian,Canada,ZX,
"China Air Cargo Co., Ltd.",662,"Formerly AVIC Cargo Airlines. Planned startup with 1 x B757F.Joint-venture between JoyAir Holdings (45%), Guangzhou Donlinks Group Co.(35%) and Beijing Fidelity Asset Management Co. (20%).",CHY,China Cargo,China,ZY,662
